seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
4224,,Kita no Hyōtei（Utagawa Kunikazu，1980-01-01）,,,object,大阪浮世绘名所木版画,12,5.0,3.5,5.0,4.5,5.5,0,5.0,2.8,3.5,4.040,4.529,C,C,,Core 4.529 < 5.5,low,题名所示为地方景观或休闲场所，具有补充性城市文化信息，但缺少图像、版本和策展说明，暂不宜给出高优先级。,组内与其他国贞大阪名所版画高度同质，代表性处于后段。,
4225,,Kita myōken zutumi（Utagawa Kunikazu，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5,3.5,5,4.5,5,0,5,3.2,5.5,4.560,4.506,C,C,,Core 4.506 < 5.5,medium,Kunikazu是有研究价值的上方浮世绘画师，但非日本版画史上的顶尖名家；该条目缺少图像、系列和展陈信息，难以支持更高的视觉与个体重要性判断。,组内属歌川国貞（Kunikazu）作品，品质与代表性偏低，且与同组大阪上方浮世绘木版画重复度较高。,
4226,,Kichisuke botan zakari（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,5.5,5.5,5.5,0,5.5,5,5.8,5.410,5.116,B,C,变,Core 5.116 < 5.5,medium,Yoshiyuki属于大阪浮世绘传统中具有代表性的画师，牡丹题材可能有较好的色彩吸引力，但单件作品尚不足以代表MFA日本艺术收藏的核心。,组内属歌川芳雪作品，品质中等偏上，较国貞作品更具代表性，但仍属于同批上方浮世绘中的常规成员。,
4227,,Kizugawa-guchi senbon-matsu（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,6,5.5,5.5,0,5.5,5.9,6,5.720,5.222,B,C,变,Core 5.222 < 5.5,medium,Yoshiyuki的上方浮世绘具有区域艺术史价值，千本松等名胜题材有助于呈现大阪周边景观文化；但缺少作品图像和系列信息，个体地位有限。,组内歌川芳雪作品中代表性较强，地方景观题材增强其区分度，位居本组前列但非唯一核心。,
4228,,Kyōbashi（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,5.5,5,5.5,0,5.5,5.4,5.8,5.530,5.053,B,C,变,Core 5.053 < 5.5,medium,Kyōbashi这一城市桥梁题材可说明上方浮世绘与近世都市空间的关系，艺术家本身有一定区域重要性，但作品并非MFA日本收藏的标志性单件。,组内属歌川芳雪作品，品质稳定且能补充大阪城市景观，但与同组同作者作品存在明显重复。,
4229,,Kinjō no baba（Utagawa Kunikazu，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5,3.5,5,4.5,5,0,5,3.4,5.5,4.620,4.512,B,C,变,Core 4.512 < 5.5,medium,Kunikazu的作品能补充大阪浮世绘的地方性脉络，但现有资料只确认艺术家与木版画类别，缺乏显示此件特殊艺术成就的证据。,组内属歌川国貞作品，品质与典范性低于芳雪及芳瀧作品，因同类重复而处于后段。,
4230,,Kuni-jima sarashi zutsumi（Utagawa Kunikazu，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,5.5,5,5.5,0,5,4.7,5.7,5.050,5.005,C,C,,Core 5.005 < 5.5,medium,Kunikazu的河川与地方生产景观题材具有解释大阪区域社会和风景文化的价值，但在MFA庞大的日本藏品中更像有代表性的常规作品。,组内属歌川国貞作品，虽能补充上方地方景观类型，但在同组中仍属较常规、重复度较高者。,
4231,,Kema（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,6,5.5,5.5,0,5.5,6.5,6,5.900,5.240,C,C,,Core 5.240 < 5.5,medium,Kema景观题材兼具地方史和风景观看价值，Yoshiyuki在上方浮世绘中有一定地位；不过没有图像或系列资料证明其达到重点展品水平。,组内歌川芳雪作品中综合代表性最高之一，既符合上方浮世绘主题又具有较强的组内区分度，位居前列。,
4232,,Genpachi no watashi-guchi（Utagawa Kunikazu，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5,3.5,5.5,5,5,0,5,3.6,5.5,4.680,4.668,C,C,,Core 4.668 < 5.5,medium,渡口题材可以呈现近世大阪的交通和城市生活，但Kunikazu并非国际知名版画大师，现有编目信息也不足以确认该件的特殊性。,组内属歌川国貞作品，品质与独特性均低于同组芳雪、芳瀧作品，属于重复度较高的后段对象。,
4233,,Kōzu（Utagawa Yoshitaki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,5.5,5,5.5,0,5.5,4.5,5.8,5.260,5.026,C,C,,Core 5.026 < 5.5,medium,Yoshitaki是大阪浮世绘中较有代表性的画师，Kōzu题材具有地方景观叙事价值；但单件作品对MFA整体身份的不可替代性仍较低。,组内属歌川芳瀧作品，为作者谱系提供补位价值，但相较组内最具代表性的芳雪作品独特性较弱。,
4234,,Kobore-guchi（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,5.5,5,5.5,0,5.5,5.2,5.8,5.470,5.047,C,C,,Core 5.047 < 5.5,medium,Yoshiyuki及其上方木版画传统具有明确的区域文化价值，Kobore-guchi可作为地方景观材料观看，但缺乏图像和出处信息支持更高评价。,组内属歌川芳雪作品，品质中等偏上并具一定景观题材代表性，但仍与多件同作者作品重复。,
4235,,Saishō-an tsukimi kei（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,6,5.5,5.5,0,5.5,6.2,6,5.810,5.231,C,C,,Core 5.231 < 5.5,medium,月见题材通常具有较强的季节性审美和现场吸引力，也能说明日本城市休闲文化；但艺术家与作品在MFA内部仍属可替代的上方浮世绘单件。,组内歌川芳雪作品中代表性最强的一组成员之一，题材与作者覆盖均有补位作用，位居本组前列。,
4236,,Zakoba（Utagawa Yoshitaki，1980-01-01）,,,object,日本上方（大阪）浮世绘木版画,12,5.5,4,5.5,5,5.5,0,5.5,4.3,5.8,5.200,5.020,C,C,,Core 5.020 < 5.5,medium,Yoshitaki的作品有助于说明大阪浮世绘的地方艺术生产，Zakoba题材具有一定城市文化叙事性，但现有资料未显示其为该传统中的杰出孤例。,组内属歌川芳瀧作品，能补充芳雪、国貞之外的作者面向，但在本组中的典范性与非重复性居中偏后。,
4237,,Satamura tenmangū（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方歌川派木版画,12,5.5,3.5,5,4.5,5.5,0,5.5,3.4,3.5,4.470,4.672,C,C,,Core 4.672 < 5.5,medium,作品属于上方歌川派木版画，具有日本近世城市文化与名所图像的代表性，但现有资料不足以支持其为该领域的名家巅峰或MFA镇馆级单件。,组内代表性较低，Satamura天满宫题材具有局部补位价值，但缺乏足以超越同组作品的突出特征。,
4238,,Sanadayama sankō no miya（Utagawa Yoshitaki，1980-01-01）,,,object,日本上方歌川派木版画,12,5.5,3.5,5,4.5,5.5,0,5.5,3.0,3.4,4.330,4.658,C,C,,Core 4.658 < 5.5,medium,作品可作为上方木版画与日本地方名所视觉文化的常规代表，但艺术家与题材在全馆日本艺术体系中难称不可替代。,组内独特性最低一档，Sanadayama题材虽可补充区域景观叙事，但与同组一般寺社景作品重复度较高。,
4239,,Sandai-kyō（Utagawa Kunikazu，1980-01-01）,,,object,日本上方歌川派木版画,12,5.5,3.5,5.5,5,5,0,5.8,4.8,3.9,5.120,4.812,C,C,,Core 4.812 < 5.5,medium,作品体现上方歌川派版画的城市景观与叙事传统，具有合格的形式和文化价值，但单件影响力与MFA身份关联均有限。,组内中游偏后，题名与场景具有一定辨识度，但在上方歌川派寺社版画中仍较易被同组对象替代。,
4240,,Shitennō-ji（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方歌川派木版画,12,6,4,6,5.5,6.5,0,6.1,6.0,4.2,5.690,5.469,C,C,,Core 5.469 < 5.5,medium,以四天王寺这一重要佛教寺院为主题，能较好连接日本宗教空间与城市文化，但仍属于上方版画中的普通单件而非核心名作。,组内属上游作品，以四天王寺为明确地标，代表性较强但与同组寺院题材存在重复。,
4241,,Shitennō-ji gappō ga tsuji（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方歌川派木版画,12,6,4,6,5.5,6.5,0,6.1,5.6,4.1,5.550,5.455,C,C,,Core 5.455 < 5.5,medium,四天王寺及其周边场景提供了较明确的宗教地景和民众生活叙事，教育价值较强，但现有信息未显示其具有特殊版本或作者地位。,组内中上位置，四天王寺相关题材具有叙事价值，但和组内其他四天王寺图构成明显重复。,
4242,,Shitennō-ji garan（Utagawa Kunikazu，1980-01-01）,,,object,日本上方歌川派木版画,12,6,4,6.5,6,6.5,0,6.3,7.0,4.5,6.150,5.665,C,B,变,Core 5.665 落在 5.5–7.19,medium,四天王寺伽蓝题材兼具建筑构图、宗教象征与大阪地方记忆，现场观看吸引力略高于一般同类，但仍非MFA日本收藏的顶级代表。,组内综合表现最突出，Shitennō-ji寺院群景与较高视觉完成度使其在同类上方歌川派版画中最具代表性。,
4243,,Shimoaji-kawa zuiken-yama（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方歌川派木版画,12,5.5,3.5,5.5,5,5.5,0,5.6,3.7,3.6,4.630,4.838,C,C,,Core 4.838 < 5.5,medium,作品可说明上方版画对河川、山地与地方景观的表现方式，具有中等视觉和叙事价值，但题材知名度与单件稀缺性有限。,组内偏后，虽记录了地方景观，但与其他上方歌川派景物版画的区分度有限。,
4244,,Shari-ji（Utagawa Yoshitaki，1980-01-01）,,,object,日本上方歌川派木版画,12,6,4,6,5.5,6.5,0,6.1,5.4,4.0,5.470,5.447,C,C,,Core 5.447 < 5.5,medium,舍利寺题材涉及佛教圣物崇敬与寺院空间，文化解释力高于一般风景版画，但不足以改变其在MFA中属于非核心单件的判断。,组内中上位置，Shari-ji寺院题材提供一定变化，不过整体仍属于同类寺社景版画的常见范围。,
4245,,Jūsō nakamichi（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方歌川派木版画,12,5.5,3.5,5.5,5,5,0,5.7,4.0,3.7,4.790,4.779,C,C,,Core 4.779 < 5.5,medium,作品反映大阪地区道路与城市日常景观的视觉记录功能，适合作为上方版画脉络中的补充展品，但艺术史和游客记忆点均属中等。,组内偏后，Jūsō街区题材可补充城市空间叙事，但相较寺院地标作品的典范性较弱。,
4246,,Juhō-ji（Utagawa Yoshitaki，1980-01-01）,,,object,日本上方歌川派木版画,12,5.5,3.5,5.5,5,6,0,5.8,5.0,4.0,5.200,4.970,C,C,,Core 4.970 < 5.5,medium,寺院题材使作品具备一定宗教史与地方文化解释力，视觉上应有常规版画的吸引力，但目前没有证据表明其为稀见或杰出范本。,组内中游，Juhō-ji的寺院主题有补充作用，但艺术品质与独特性不及前列作品。,
4247,,Shōman-in aizen-dō（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方歌川派木版画,12,6,4,6,5.5,6.5,0,6.2,6.2,4.3,5.820,5.482,C,C,,Core 5.482 < 5.5,medium,相爱堂相关题材可连接日本佛教寺院、信仰实践与建筑图像传统，叙事潜力较好，但在MFA日本艺术收藏中仍更像有价值的常规代表。,组内品质居前，题材为较具宗教场所辨识度的爱染堂，但与其他寺社景版画仍有一定重复。,
4248,,Shirinashi urushizutsumi jinbē（Utagawa Yoshiyuki，1980-01-01）,,,object,日本上方歌川派木版画,12,5.5,3.5,5.5,5.5,5.5,0,5.7,4.4,3.8,4.930,4.943,C,C,,Core 4.943 < 5.5,medium,作品属于上方歌川派木版画，能够体现地方戏剧或人物题材的通俗视觉文化，但缺乏图像与版本信息，暂不足以评为高优先级名作。,组内中游偏后，人物与场所信息提供局部差异，但整体代表性受同类作品数量较多所限制。,
4249,,Shin-kiyomizu momiji-zaka taki（Utagawa Yoshiyuki，1980-01-01）,,,object,日本大阪名所木版画,12,5.5,3.0,5.5,5.0,5.5,0,5.5,7.5,5.0,6.000,4.850,C,C,,Core 4.850 < 5.5,medium,资料确认其为Utagawa Yoshiyuki创作的木版画；清水寺与瀑布题材具有日本名所和城市文化叙事价值，但未见作者代表作或本馆不可替代性证据。,组内以清水寺红叶坂瀑布这一辨识度最高的名所题材居首，且画家与画面主题均较具代表性。,
4250,,Shingon-zaka（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪名所木版画,12,5.0,2.8,4.5,4.2,5.0,0,5.0,2.9,4.0,4.170,4.172,C,C,,Core 4.172 < 5.5,medium,资料仅确认作者、木版画类别及题名；作为日本名所题材作品具有一定地域文化价值，但艺术家地位和画面表现力缺少进一步资料支持。,组内偏后，真言坂具有宗教地名特色，但在大阪街道与寺社景观中缺乏足以拉开差距的代表性。,
4251,,Shinmachi kakutyū kuken yozakura（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪名所木版画,12,5.5,3.0,5.7,5.3,5.5,0,5.5,6.8,4.9,5.770,4.902,C,C,,Core 4.902 < 5.5,medium,夜樱题材通常具有较强的季节性视觉吸引力，也能呈现近代日本城市游赏文化；但现有资料不足以证明该作者或单件作品达到代表性水平。,组内品质居前，以新町夜樱这一季节性城市景观提供较鲜明的题材差异，但仍属同类名所版画。,
4252,,Shin-machi misetsuki（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪名所木版画,12,5.0,2.8,4.8,4.5,5.3,0,5.0,3.2,4.1,4.280,4.318,C,C,,Core 4.318 < 5.5,medium,资料确认其为Utagawa Kunikazu的木版画，题名指向日本城市名所或街区生活；具有一定社会风俗叙事价值，但缺乏构图、年代和流传信息。,组内偏后，新町见世月虽呈现娱乐街景，但与新町夜樱同属城市游乐空间，独特补位价值较低。,
4253,,Sujigane gomon（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪名所木版画,12,4.8,2.5,4.3,4.0,4.8,0,4.8,2.5,3.8,3.910,3.941,C,C,,Core 3.941 < 5.5,medium,现有条目只提供作者、木版画类别和题名，尚不足以确认其具体图像内容；在缺少突出艺术史地位或稀有性证据时，应视为可替代的常规作品。,组内末位，筋铁五纹题材的名所辨识度和叙事补位性均较弱，与同类街景版画重复最多。,
4254,,Sumiyoshi kishi-hime matsu（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪名所木版画,12,5.2,2.8,5.0,4.7,5.3,0,5.2,4.8,4.5,4.940,4.484,C,C,,Core 4.484 < 5.5,medium,题名涉及Sumiyoshi及松树等日本名所意象，具备一定宗教景观与地方文化解释价值；但作者和单件作品的历史重要性未获资料支持。,组内中游，住吉岸姬松具有地方名所特色，但在住吉系列内部的独特性不及宗教或标志性建筑题材。,
4255,,Sumiyoshi godairiki（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪名所木版画,12,5.4,3.0,4.9,4.7,5.8,0,5.4,6.1,4.8,5.490,4.689,C,C,,Core 4.689 < 5.5,medium,题名可能关联Sumiyoshi地域及信仰或仪式文化，教育叙事潜力略高于一般风景图；不过现有信息没有证明该件是作者或MFA日本收藏的关键代表作。,组内品质较高，住吉五大力信仰题材的宗教民俗意味较突出，重复性低于一般桥梁或街景作品。,
4256,,Sumiyoshi sori-bashi（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪名所木版画,12,5.2,2.8,5.2,4.8,5.3,0,5.2,5.2,4.6,5.080,4.543,C,C,,Core 4.543 < 5.5,medium,桥梁题材能够呈现日本名所景观、交通与城市空间，但目前仅有编目事实，无法确认画面尺度、技法特色或收藏史上的突出地位。,组内品质中上，以住吉反桥这一地标性建筑补充大阪名所叙事，但同组中桥梁与住吉题材较集中。,
4257,,Sumiyoshi taka-tōrō（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪名所木版画,12,5.0,2.8,5.0,4.6,5.2,0,5.0,4.3,4.4,4.670,4.387,C,C,,Core 4.387 < 5.5,medium,题名涉及Sumiyoshi与高灯笼等具有地域识别度的景观元素，具备中等的地方文化价值；但艺术家知名度和该件的独特性证据有限。,组内中下位置，住吉高灯笼可补充城市设施与信仰空间叙事，但代表性弱于神社和桥梁名所。,
4258,,Sumiyoshi honsha（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪名所木版画,12,5.3,3.0,5.1,4.8,5.8,0,5.3,5.7,4.8,5.320,4.697,C,C,,Core 4.697 < 5.5,medium,“honsha”所指的主要神社空间可能有助于解释Sumiyoshi的宗教与地方历史语境；但没有图像、年代或展览史资料支持更高的艺术史和本馆身份评分。,组内居中上位置，住吉本社具有明确的神社文化叙事价值，但与其他住吉名所版画存在一定重复。,
4259,,Sumiyoshi yamato-bashi（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪名所木版画,12,5.1,2.8,5.0,4.6,5.3,0,5.1,3.9,4.3,4.580,4.413,C,C,,Core 4.413 < 5.5,medium,大和桥题材具有城市景观和交通空间的叙事潜力，属于有一定文化信息量的日本名所木版画；但现有编目资料未显示其为关键名家或不可替代藏品。,组内中下位置，住吉大和桥虽具名所价值，但与同组其他住吉景观的功能和视觉信息较为重复。,
4260,,Souzen-ji baba（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪名所木版画,12,5.0,2.8,4.8,4.4,5.3,0,5.0,3.5,4.2,4.390,4.314,C,C,,Core 4.314 < 5.5,medium,题名指向寺院或宗教场所相关景观，具备一定地方宗教文化解释价值；但仅凭现有作者与题名信息，无法确认其在MFA同类收藏中的突出排名。,组内重复度较高，曾根崎马场属于一般地方景观，补充大阪城市史的作用有限。,
4261,,Tako no matsu yoru no kei（Utagawa Kunikazu，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.5,4.5,5.5,5.0,5.5,0,5.5,5.2,6.2,5.550,5.180,C,C,,Core 5.180 < 5.5,medium,题名显示其为大阪城市景观类木版画，具有地方都市史与浮世绘史价值，但作者及作品目前不足以确认属于代表作，且缺少图像和尺寸资料。,组内属中上水平的大阪城市景观，但相较祭礼场景和代表性更强的作品，题材补位与非重复性居中。,
4262,,Tamae-bashi kei（Utagawa Kunikazu，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.0,4.0,5.5,5.0,5.2,0,5.0,3.8,5.8,4.800,4.835,C,C,,Core 4.835 < 5.5,medium,桥梁景观题材可呈现大阪的城市空间与观光视角，但现有资料仅确认作者、题名和媒介，无法证明其艺术地位或画面冲击力突出。,组内为一般城市桥景，艺术品质尚可但与多件大阪水岸景观重复度较高，代表性偏低。,
4263,,Chausu-yama（Utagawa Yoshiyuki，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.0,4.0,5.0,4.8,5.3,0,5.0,3.5,5.5,4.650,4.730,C,C,,Core 4.730 < 5.5,medium,Chausu-yama为大阪地方景观题材，具有一定地域文化信息，但缺少系列、构图及保存状况信息，暂按普通大阪风景版画评估。,组内属较常规的茶臼山景观，和相近城市名胜图重复，独特性低于同组多数对象。,
4264,,Chausu-yama unsui（Utagawa Yoshiyuki，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.2,4.2,5.3,5.1,5.5,0,5.2,4.2,5.8,5.020,4.977,C,C,,Core 4.977 < 5.5,medium,同一大阪景观题材的变体可补充地方版画生产与城市观看史，但仅凭题名无法确认其是否比同组作品更具稀有性或审美优势。,组内同为茶臼山题材但带有云水变化，较普通版本略具差异，仍属中下位的重复性景观。,
4265,,Tetsugen-ji yūkei（Utagawa Yoshiyuki，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.3,4.5,5.5,5.0,5.8,0,5.3,5.0,6.0,5.350,5.165,C,C,,Core 5.165 < 5.5,medium,寺院晚景题材兼具大阪宗教空间和城市景观信息，叙事价值略高于一般风景，但作品本身的艺术等级仍缺乏实质资料支持。,组内为寺院黄昏景观，较一般地景有宗教空间补位价值，但仍不及核心祭礼图的代表性。,
4266,,Tenka chaya zesai（Utagawa Yoshitaki，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,4.8,3.8,5.0,4.8,5.0,0,4.8,2.8,5.0,4.240,4.554,C,C,,Core 4.554 < 5.5,medium,题名所示场景具有地方生活史潜力，但作者与作品在现有信息中未显示出全国性艺术重要性，且缺少图像和展陈语境。,组内品质和叙事贡献均偏常规，作为大阪城市木版画样本与其他景观及祭礼图重复较多。,
4267,,Tenjin-matsuri yūkei（Utagawa Kunikazu，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.8,4.7,6.0,5.8,6.5,0,5.8,7.2,7.2,6.500,5.730,C,B,变,Core 5.730 落在 5.5–7.19,medium,天神祭是具有持续影响力的大阪民俗仪式，相关版画能较有效说明城市祭礼与大众文化，但作者并非该领域公认顶尖代表，作品细节资料也不足。,组内属较重要的天神祭夜景，兼具大阪祭礼与城市夜景叙事，代表性仅次于最完整的祭礼行进图。,
4268,,Tennō-ji masui（Utagawa Yoshitaki，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,4.8,3.8,5.0,4.7,5.0,0,4.8,2.5,4.8,4.110,4.526,C,C,,Core 4.526 < 5.5,medium,题名指向大阪寺社或地方景观文化，但未提供足以判断具体场景、构图质量或历史事件关联的资料，暂列为同组常规品。,组内为较一般的寺院景观，缺少祭礼或城市生活的突出信息，与其他名胜图重复度最高之一。,
4269,,Tenpō-zan（Utagawa Yoshiyuki，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.5,4.5,5.7,5.3,6.0,0,5.5,5.8,6.5,5.790,5.354,C,C,,Core 5.354 < 5.5,medium,天保山是大阪具有城市地理和游览史意义的地点，题材教育价值较好，但单件作品的艺术重要性和视觉表现无法由现有编目资料确认。,组内为辨识度较高的天保山景观，能补足大阪城市地标叙事，但独特性仍低于核心祭礼作品。,
4270,,Tenma-ichiba（Utagawa Kunikazu，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.2,4.3,5.5,5.2,6.0,0,5.2,4.5,6.0,5.150,5.135,C,C,,Core 5.135 < 5.5,medium,天满市场题材能够反映大阪商业与日常城市生活，文化叙事价值明确，但目前没有图像、系列或作者成就资料支持更高的单件评级。,组内为中等代表性的天满市场城市生活场景，叙事上有日常商业补位价值，但与其他城市景观相比不居前列。,
4271,,Tenma-tenjin danjiri miyairi（Utagawa Yoshitaki，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,6.0,4.8,6.2,6.2,6.8,0,6.0,8.5,8.0,7.150,5.995,C,B,变,Core 5.995 落在 5.5–7.19,medium,描绘天满天神祭中山车入宫的仪式场面，具有较强的祭礼制度、地方社群和城市文化叙事价值，现场画面吸引力也可能高于普通风景版画。,组内品质与代表性最高，完整呈现天神祭 danjiri 入宫这一核心仪式，是本组最具非重复性和叙事补位价值的作品。,
4272,,Tenma-bashi fūkei（Utagawa Kunikazu，1980-01-01）,,,object,日本江户时期大阪城市与祭礼木版画,12,5.2,4.3,5.5,5.1,5.8,0,5.2,4.0,5.8,4.960,5.071,C,C,,Core 5.071 < 5.5,medium,天满桥是大阪城市景观与交通空间的代表性地标，题材有一定城市史价值，但现有资料不足以显示其在同类版画中具有突出艺术地位。,组内为常规桥梁城市风景，能补充大阪交通与水岸空间，但与同组多件城市景观明显重复。,
4273,,Tenma hinokuchi（Utagawa Yoshiyuki，1980-01-01）,,,object,日本大阪派木版画,12,4.5,3.5,4.5,4,4.5,0,4.5,2.5,4,3.800,4.105,C,C,,Core 4.105 < 5.5,low,仅有题名、作者与类别信息，显示为大阪派木版画中的单件作品；在MFA日本艺术强馆藏中尚无证据表明其属于代表性名作，视觉与叙事价值按常规水平估计。,组内第12位，属大阪派木版画的一般性例作，与其他同类城市风景版画重复度最高。,
4274,,Dōjima komeichi（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪派木版画,12,5,3.5,5,4.5,5.5,0,5,4,4.5,4.600,4.585,C,C,,Core 4.585 < 5.5,low,题名指向堂岛米市场等城市经济场景，具有一定社会史叙事潜力，但作者与单件作品的经典地位缺乏进一步资料支持。,组内第9位，品质中等，但作为Utagawa Kunikazu的城市题材作品仍有一定补位价值，独特性有限。,
4275,,Dōtonbori kado no shibai（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪派木版画,12,5.5,3.5,6,5.5,5.5,0,5.5,6.5,5.5,5.800,5.105,C,C,,Core 5.105 < 5.5,low,题名指向道顿堀剧场这一大阪娱乐文化场景，通常具较强城市生活与戏剧史信息及视觉吸引力，但尚不能据此认定为MFA同类中的核心名品。,组内第4位，构图与道顿堀剧场景观具有较强大阪城市文化辨识度，在同组中代表性较突出。,
4276,,Dōtonbori tazaemon-bashi uchū（Utagawa Yoshiyuki，1980-01-01）,,,object,日本大阪派木版画,12,5,3.5,5.5,5,5,0,5,5,4.5,4.900,4.690,C,C,,Core 4.690 < 5.5,low,题名涉及道顿堀桥一带，具有大阪城市空间与公共生活的记录价值；但缺少构图、保存状况和展览史信息，难以支持更高的单件优先级。,组内第7位，属于较具观赏性的道顿堀桥梁景观，但与同组城市风景版画仍有明显重复。,
4277,,Tokifune-chō（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪派木版画,12,4.5,3,4.5,4,4.5,0,4.5,3,4,3.950,3.995,C,C,,Core 3.995 < 5.5,low,现有资料仅能确认其为Utagawa Kunikazu的木版画，题名所指地点的文化信息有限，较像MFA日本版画收藏中的常规比较样本。,组内第11位，题材与表现均较常规，在同组中缺乏突出的独特性。,
4278,,Nagabori ishihama（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪派木版画,12,4.5,3,4.5,4,4.5,0,4.5,3.5,4.5,4.200,4.020,C,C,,Core 4.020 < 5.5,low,题名似指长堀一带的地景或滨水场所，具有局部城市史价值，但没有作品图像或权威说明证明其艺术质量和代表性突出。,组内第10位，虽能补充大阪街区景观类型，但与其他木版城市风景的内容重复较多。,
4279,,Nagabori zaimokuichi（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪派木版画,12,5,3.5,5,4.5,5.5,0,5,5,4.5,4.900,4.615,C,C,,Core 4.615 < 5.5,low,题名涉及长堀木材市场，可能呈现大阪商业与运输文化，教育叙事价值略高于纯景观图；不过其在MFA同类中的排名无法由现有资料确认。,组内第8位，品质稳定并呈现大阪木材市场等地方商业景观，但仍属同类常见的城市题材。,
4280,,Nagamachi uratōmi nanba-kura（Utagawa Yoshitaki，1980-01-01）,,,object,日本大阪派木版画,12,5,3.5,5,4.5,5.5,0,5,4.5,4.5,4.750,4.600,C,C,,Core 4.600 < 5.5,low,题名涉及难波一带的仓库或商业景观，能补充大阪城市经济史，但缺少图像和策展语境，暂按非核心的常规大阪版画评分。,组内第6位，具有大阪港湾与仓库景观的区域性信息，不过在组内的非重复性中等。,
4281,,Nagara mitsu-gashira（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪派木版画,12,4.5,3,4.5,4,4.5,0,4.5,3,4,3.950,3.995,C,C,,Core 3.995 < 5.5,low,仅凭题名与作者可将其归入大阪派木版画，但具体主题和作品质量不明；在MFA庞大的日本收藏中暂不足以显示不可替代性。,组内第11位附近，作为一般性街景版画可作大阪派补充，但与组内多件作品高度相似。,
4282,,Naniwa-bashi yūsuzumi（Utagawa Kunikazu，1980-01-01）,,,object,日本大阪派木版画,12,5,3.5,5.5,5,5,0,5,7.5,5.5,5.850,4.785,C,C,,Core 4.785 < 5.5,low,题名指向浪速桥的暮色景观，桥梁、城市空间与时间氛围可能带来较好的现场视觉想象和地方史价值，但尚无证据表明它是同类中的杰作。,组内第1位，Naniwa桥夕景兼具大阪地标性与夜景氛围，是本组最具辨识度和叙事补位价值的作品。,
